input_255,normalized
0,5.059024877838103
3,1.2552886782594759
6,0.8605489028700788
10,1.3947590055773578
13,0.7120371236017072
16,0.8407789642028287
19,3.209823894658336
22,3.922780602835762
26,8.260015187329648
29,5.535564751457102
32,2.085617817738183
35,0.11086529720280906
38,0.0
41,0.5617825771685369
45,0.5356998146571409
48,1.8709366186059266
51,3.9334812233532634
54,6.37422588451584
57,5.8773158192346315
61,3.530703179186896
64,1.8331771654622624
67,2.006282748432689
70,2.200370826308629
73,1.6785762450843769
76,2.4822374318671416
80,4.283647883308606
83,8.315608254861948
86,6.673174470223384
89,4.574292341635391
92,3.6281821567755372
96,5.116568579318904
99,5.041469172301585
102,5.833426555393333
105,5.6959068620239535
108,7.580219256276744
112,13.555986357512191
115,15.05075715224916
118,17.331995688822822
121,15.81567076552517
124,13.104581795629596
128,12.871843299374062
131,15.137030905171477
134,19.340368402200337
137,29.060210170389507
140,45.76321000941828
143,57.14290193678621
147,54.52027459302546
150,48.521337123672005
153,46.719689432966526
156,50.079656409260984
159,77.79523886654962
163,151.74182122030658
166,162.2888989798561
169,163.14522728324843
172,153.34621764294934
175,159.17763783199564
178,174.2788659430961
182,204.12902185824672
185,225.57136553715335
188,233.33001206731953
191,228.73626911859765
194,231.62028141145763
198,224.916927847431
201,234.57432146306886
204,242.65295555938707
207,248.34425772026776
210,252.93157035522424
214,252.06181054378655
217,247.80731070490842
220,244.39247518226256
223,248.2216253555702
226,245.86815763050342
230,250.62628328868553
233,251.92735613233623
236,255.0
239,253.4781101213952
242,249.64706504653756
245,246.52019882708908
249,244.20869759811438
252,249.2462097701204
255,251.66109459836574
