,step,input_255,measured_raw,normalized
9,80,0,218.33958333333334,253.06818551986086
8,76,13,217.75104166666668,252.26757897754297
7,73,22,219.06875,254.0600874306972
6,70,32,215.73060344827587,249.51913116559064
5,67,41,219.75969827586206,255.0
4,64,51,211.51831896551724,243.78906529939474
3,61,61,203.51145833333334,232.8971516616393
2,58,70,196.446875,223.2870391483651
1,55,80,144.634375,152.8053233697954
0,0,255,32.30416666666667,0.0
