input_val,measured_intensity
0,159.68765136957882
3,118.51461988304094
6,119.20576923076923
9,35.90769230769231
12,48.35294117647059
15,31.356701030927834
19,33.99966047985514
22,31.32508398656215
25,31.17013888888889
28,30.93345636126791
31,31.309129967776585
35,33.04742907801418
38,33.53942652329749
41,36.368265595463136
44,34.44291924044841
47,32.10795072788354
51,31.174599692915113
54,30.80343490304709
57,31.23792109929078
60,31.2364804964539
63,32.324972004479285
66,33.58203260492542
70,35.26382325141777
73,34.13686302010285
76,32.69962599345489
79,32.00486865942029
82,31.613494032848873
86,31.696561503013115
89,31.494974287050024
92,31.93633540372671
95,33.06947496947497
98,35.99169719169719
102,34.251954079140205
105,32.95302499698104
108,32.7389486260454
111,33.45433455433455
114,33.57912087912088
117,33.97116104868914
121,33.879012345679016
124,34.88163942798774
127,38.08894362342638
130,38.562745098039215
133,38.364985994397756
137,39.530778164924506
140,40.09991496598639
143,38.33584131326949
146,39.73763288447909
149,41.46868957310724
153,45.38336019339243
156,28.44391769282792
159,35.93468433956482
162,34.31742857142857
165,33.97764227642276
168,37.30190861769809
172,32.28949065119278
175,43.69569892473118
178,34.17952249770432
181,34.483620689655176
184,44.82762762762763
188,119.20576923076923
